"AAPL","Apple Inc.",153.58,153.59,+1.04,"+0.68%",153.43,152.54,153.58,2294481,153.98,153.01,156.65,91.50
"TD","Toronto Dominion Bank (The) Com",N/A,N/A,+0.63,"+1.37%",46.21,45.96,46.59,453559,46.65,46.03,54.44,41.36
"BAC","Bank of America Corporation Com",N/A,N/A,+0.46,"+2.02%",22.91,22.74,23.20,38087397,23.30,22.87,25.80,12.05
"C","Citigroup, Inc. Common Stock",N/A,N/A,+1.37,"+2.28%",60.41,60.08,61.45,10175820,61.62,60.24,62.58,38.31
"TSLA","Tesla, Inc. ",314.17,314.27,+1.13,"+0.36%",315.55,313.06,314.19,2232436,316.50,312.82,327.66,178.19
"WFC","Wells Fargo & Company Common St",N/A,N/A,+0.6614,"+1.2627%",52.5700,52.3800,53.0414,7099194,53.1000,52.3900,59.9900,43.5500
"F","Ford Motor Company Common Stock",N/A,N/A,+0.12,"+1.11%",10.81,10.79,10.91,16728471,10.94,10.79,14.04,10.67
"EBAY","eBay Inc.",33.9900,34.0000,+0.2633,"+0.7806%",33.6800,33.7300,33.9933,3557433,34.2100,33.6000,34.8700,22.3000
"JPM","JP Morgan Chase & Co. Common St",N/A,N/A,+1.01,"+1.20%",84.21,83.96,84.97,5880381,85.09,84.15,93.98,57.05
"GOOG","Alphabet Inc.",935.97,936.20,+6.23,"+0.67%",931.47,930.24,936.47,652146,937.76,931.00,943.11,663.28
